Episode,Reward,Length
1,-14270.092,166
2,-16603.342,203
3,-21752.31,251
4,-10145.656,139
5,-14507.002,214
6,-19497.367,275
7,-36717.34,500
8,-12798.86,186
9,-12116.381,177
10,-17784.191,220
11,-12879.677,157
12,-15574.109,186
13,-14923.642,172
14,-12399.19,153
15,-38059.754,500
16,-15068.053,209
17,-36845.895,462
18,-44478.527,500
19,-14123.299,188
20,-42814.605,500
21,-25784.465,434
22,-40229.77,500
23,-25538.76,328
24,-35373.855,500
25,-13048.334,178
26,-11157.677,133
27,-4945.4634,65
28,-9613.881,128
29,-7863.3667,95
30,-32474.053,500
31,-8755.135,132
32,-27165.092,349
33,-12044.474,170
34,-3660.3254,54
35,-5859.839,95
36,-10032.579,155
37,-10250.879,177
38,-12024.52,146
39,-6283.896,80
40,-7987.958,142
41,-9504.608,148
42,-2854.4216,39
43,-5467.9272,75
44,-5763.4946,68
45,-4326.207,62
46,-11558.823,140
47,-5756.65,74
48,-2401.9841,33
49,-5431.2246,64
50,-13803.601,190
51,-8503.824,107
52,-4931.1655,72
53,-13160.824,146
54,-7170.7515,104
55,-4723.8213,70
56,-6557.171,69
57,-6064.844,96
58,-15379.749,234
59,-41615.35,500
60,-4445.189,64
61,-2611.9402,39
62,-16641.27,207
63,-8741.688,124
64,-3626.9888,47
65,-34183.918,500
66,-3427.9229,59
67,-6912.125,96
68,-2859.2505,39
69,-49225.016,500
70,-6575.0527,86
71,-5208.4673,67
72,-2909.3474,34
73,-6146.369,68
74,-8760.992,99
75,-3491.8157,48
76,-2143.0754,35
77,-3530.026,49
78,-5401.149,67
79,-7514.1655,108
80,-12249.853,148
81,-3465.3687,52
82,-2291.033,26
83,-3853.0513,57
84,-13188.499,139
85,-5265.5986,60
86,-3236.3413,47
87,-3420.53,56
88,-5281.815,62
89,-11196.289,139
90,-9097.741,102
91,-2507.4514,31
92,-4660.157,52
93,-4994.9365,64
94,-7758.7085,109
95,-8867.09,95
96,-4144.5615,52
97,-42073.477,500
98,-4425.5386,67
99,-2797.48,37
100,-2508.1975,45
101,-5534.5547,76
102,-4069.6763,55
103,-5610.99,62
104,-9543.221,105
105,-3811.9011,54
106,-4143.885,55
107,-5745.6953,70
108,-4367.981,65
109,-5246.1504,70
110,-4751.946,57
111,-36569.62,500
112,-3394.3638,42
113,-4325.7183,75
114,-10832.532,159
115,-3473.306,54
116,-3019.4673,38
117,-34259.258,500
118,-6760.395,77
119,-4438.3765,52
120,-2797.569,40
121,-2216.3726,30
122,-4178.3633,45
123,-3675.1736,50
124,-7544.059,90
125,-14208.279,154
126,-5958.0156,69
127,-5010.389,56
128,-4914.966,79
129,-3745.0188,51
130,-7531.852,114
131,-3332.861,40
132,-9588.28,103
133,-4747.262,52
134,-11255.68,120
135,-4168.9814,52
136,-3451.73,50
137,-19992.568,227
138,-5050.3135,63
139,-3959.8345,52
140,-8463.117,115
141,-4090.7156,72
142,-12476.629,182
143,-3615.8906,45
144,-4531.975,58
145,-2975.5803,33
146,-4294.335,52
147,-46791.5,500
148,-44358.86,500
149,-2695.6267,40
150,-2072.1174,36
151,-3469.9092,56
152,-15563.137,177
153,-3665.1775,51
154,-2544.4478,35
155,-2102.185,27
156,-5981.695,75
157,-3416.7502,40
158,-5561.3896,63
159,-38805.184,500
160,-7377.9253,81
161,-4522.272,49
162,-2219.8755,35
163,-5132.3457,80
164,-13073.406,154
165,-13548.314,157
166,-3656.2996,44
167,-4784.258,59
168,-3537.9187,40
169,-32642.355,500
170,-12229.299,194
171,-5499.9023,82
172,-3742.6028,55
173,-4137.126,47
174,-7994.426,114
175,-37097.355,500
176,-2716.0918,39
177,-4371.269,47
178,-4427.8696,48
179,-3914.313,55
180,-4402.923,74
181,-4857.3643,57
182,-5702.1694,67
183,-3312.2954,41
184,-24349.992,288
185,-3837.7656,42
186,-3226.5625,53
187,-8160.0293,113
188,-2742.782,30
189,-3423.8223,52
190,-4817.6387,65
191,-2131.2283,28
192,-5768.2637,79
193,-1910.0543,26
194,-6190.4526,75
195,-3370.3425,37
196,-3801.5032,46
197,-6745.958,74
198,-35233.69,500
199,-1317.1543,18
200,-4296.268,57
201,-2732.9165,39
202,-4308.861,52
203,-5326.827,69
204,-2682.39,32
205,-4031.1394,47
206,-2746.945,37
207,-4136.8247,61
208,-33395.836,500
209,-1892.8962,27
210,-4731.366,57
211,-4758.7954,77
212,-2264.4922,28
213,-3709.3164,46
214,-6907.249,81
215,-1936.9186,30
216,-2230.7278,28
217,-40436.35,500
218,-4852.877,53
219,-2646.3242,31
220,-6861.72,86
221,-5289.034,63
222,-5773.0327,80
223,-10463.25,125
224,-3681.2373,60
225,-3733.6016,56
226,-3236.0225,39
227,-7690.8105,85
228,-9605.296,106
229,-1836.4034,31
230,-42933.9,500
231,-6344.8125,69
232,-3302.206,49
233,-7285.412,95
234,-8515.551,120
235,-2527.7898,42
236,-3821.4128,50
237,-2225.3008,32
238,-7133.32,92
239,-3284.27,41
240,-5053.738,59
241,-4630.66,68
242,-3561.288,38
243,-4136.5,60
244,-10747.907,118
245,-4038.8289,49
246,-7692.237,81
247,-3897.7207,50
248,-4151.8354,60
249,-6108.3193,111
250,-6331.038,77
251,-4936.7915,67
252,-4035.1858,57
253,-3010.8079,51
254,-3955.2473,47
255,-3204.1943,35
256,-5066.39,67
257,-8988.685,116
258,-4490.7705,57
259,-4484.4355,70
260,-4631.005,62
261,-4045.1775,46
262,-10537.51,127
263,-2824.2039,35
264,-19911.457,316
265,-3847.0037,41
266,-7171.2944,87
267,-4161.5933,47
268,-10424.347,126
269,-2047.8392,26
270,-4014.4246,59
271,-48708.67,500
272,-4338.192,58
273,-1858.9946,23
274,-4217.5317,59
275,-5924.91,73
276,-5248.8794,60
277,-4868.8203,58
278,-2796.0076,36
279,-3413.1948,44
280,-3581.8228,42
281,-3676.7524,50
282,-2213.1392,32
283,-34865.055,500
284,-3030.7454,42
285,-4904.147,84
286,-7104.83,72
287,-3371.1333,48
288,-4653.704,65
289,-8715.138,96
290,-3331.6902,43
291,-2305.4644,38
292,-3946.7397,48
293,-8215.912,96
294,-11715.66,150
295,-5978.9106,67
296,-3659.1458,40
297,-2249.503,34
298,-39993.316,500
299,-4028.5413,48
300,-17000.688,241
301,-4321.6987,52
302,-14433.593,147
303,-2753.5042,46
304,-6308.0957,64
305,-17378.467,202
306,-4188.1045,56
307,-3337.4175,40
308,-3097.0789,37
309,-2523.1584,36
310,-2954.6624,40
311,-6179.0884,69
312,-3043.34,41
313,-7882.538,98
314,-4472.379,56
315,-3746.7764,53
316,-2528.5657,32
317,-3415.4934,52
318,-5841.2305,70
319,-3928.5532,51
320,-2104.7686,33
321,-4780.2407,57
322,-3533.746,45
323,-1130.6576,16
324,-3053.5764,33
325,-6832.4014,100
326,-2504.4941,30
327,-4288.4136,60
328,-2441.2637,35
329,-5152.8584,67
330,-2074.148,27
331,-2305.121,30
332,-3205.477,37
333,-3048.421,40
334,-41521.555,500
335,-5119.815,69
336,-4800.808,77
337,-37235.21,500
338,-3198.493,44
339,-3271.545,42
340,-6962.302,91
341,-3944.982,55
342,-8431.794,94
343,-3025.5544,45
344,-1519.9612,22
345,-45321.445,500
346,-1861.5323,28
347,-41633.05,500
348,-3286.0845,38
349,-45788.438,500
350,-3086.229,41
351,-2076.4343,23
352,-5771.061,59
353,-4627.572,50
354,-4274.9746,53
355,-2669.84,39
356,-5818.597,90
357,-2461.568,33
358,-3299.5232,48
359,-4828.8276,52
360,-1738.3113,25
361,-1892.6593,22
362,-1151.1985,17
363,-1319.0916,25
364,-3782.9387,54
365,-2433.2786,30
366,-5155.64,60
367,-2358.763,29
368,-4443.196,55
369,-2347.2544,30
370,-42811.203,500
371,-2271.9617,29
372,-3373.4028,46
373,-5103.257,62
374,-3000.498,41
375,-26712.852,343
376,-3298.1824,44
377,-2510.1328,29
378,-2963.7554,32
379,-4714.268,60
380,-7043.217,79
381,-2483.8792,34
382,-3247.5925,41
383,-3825.1177,48
384,-3590.1108,53
385,-4967.488,52
386,-3870.3428,46
387,-10809.311,143
388,-3964.1965,50
389,-3149.2156,39
390,-4885.584,70
391,-5352.1924,63
392,-5156.054,63
393,-3955.1284,54
394,-5089.9,69
395,-1503.077,21
396,-9747.194,123
397,-3554.8364,42
398,-1899.0046,24
399,-8525.24,119
400,-1907.5673,25
401,-2590.3372,33
402,-3069.1777,41
403,-2528.5679,38
404,-2826.4248,41
405,-3386.6497,41
406,-2611.9639,32
407,-2200.531,31
408,-36977.113,500
409,-3327.7212,36
410,-3306.7761,51
411,-2057.9092,34
412,-3405.3267,51
413,-8876.238,107
414,-3607.0676,47
415,-2736.9204,34
416,-1372.9558,17
417,-4129.965,54
418,-7199.1626,88
419,-5040.136,55
420,-5130.664,55
421,-2318.6414,32
422,-5338.4907,65
423,-10237.041,138
424,-3504.3354,47
425,-5240.8564,87
426,-12791.233,163
427,-2961.3013,37
428,-1749.3942,21
429,-4433.718,47
430,-2456.0615,30
431,-7585.583,99
432,-4923.8843,65
433,-3647.7783,58
434,-5973.6436,67
435,-1262.1152,15
436,-4546.3276,60
437,-2962.8582,39
438,-4039.3435,50
439,-4579.234,61
440,-2541.7583,37
441,-37457.81,500
442,-14620.955,175
443,-2083.805,27
444,-3216.039,35
445,-3108.56,48
446,-3963.9849,60
447,-2352.3235,31
448,-1825.8602,28
449,-3114.497,35
450,-2333.6494,30
451,-2499.3274,28
452,-4509.754,75
453,-1365.1973,17
454,-2255.214,29
455,-1675.2207,29
456,-4516.7163,61
457,-2288.9502,39
458,-1789.3926,29
459,-1756.2151,20
460,-3093.9114,38
461,-2936.0974,40
462,-3372.7227,37
463,-5959.9185,82
464,-3394.379,37
465,-2317.734,33
466,-2569.0989,40
467,-38178.965,500
468,-5176.545,67
469,-2728.0635,31
470,-2525.7146,28
471,-5446.5894,63
472,-5579.37,75
473,-2680.729,35
474,-1688.4866,20
475,-10304.02,145
476,-8514.37,109
477,-2026.1632,33
478,-3893.2432,65
479,-3169.8926,53
480,-2588.6274,35
481,-2105.4146,25
482,-3574.2925,42
483,-4043.2998,63
484,-1674.4862,23
485,-9779.676,112
486,-6207.2324,69
487,-2449.148,28
488,-1255.6482,15
489,-4707.4165,57
490,-2506.488,37
491,-3065.951,41
492,-1387.1028,17
493,-1651.7479,26
494,-2319.956,35
495,-1631.306,18
496,-4953.143,65
497,-2927.7104,36
498,-2546.8154,33
499,-2890.9832,43
500,-5441.551,76
501,-2178.6282,28
502,-2320.9673,26
503,-6649.9385,83
504,-42911.66,500
505,-3620.3608,46
506,-2253.9253,33
507,-6780.3345,107
508,-3471.5972,56
509,-2032.0571,25
510,-2852.949,37
511,-2388.8245,29
512,-1240.1342,17
513,-4010.8274,57
514,-2780.4412,43
515,-1596.9839,20
516,-3132.8337,38
517,-2331.7222,29
518,-42423.484,500
519,-2466.6843,32
520,-36914.184,500
521,-2235.9597,33
522,-4596.4966,59
523,-2969.2603,41
524,-1884.8785,28
525,-4172.73,62
526,-2070.5242,31
527,-3085.978,41
528,-6736.5728,91
529,-4225.1216,52
530,-2985.3777,36
531,-5295.847,68
532,-3031.9983,36
533,-2516.0845,38
534,-2251.677,30
535,-4256.454,49
536,-2114.0269,31
537,-3976.5056,47
538,-2849.0093,37
539,-3599.0066,47
540,-3060.5132,38
541,-1513.202,18
542,-4816.4424,64
543,-1338.4287,21
544,-7937.71,85
545,-3125.3687,38
546,-1377.082,17
547,-2180.2598,31
548,-4425.053,66
549,-2844.447,35
550,-26251.268,300
551,-2437.8987,31
552,-3527.0146,49
553,-2152.0327,28
554,-2375.7708,27
555,-5717.323,81
556,-2562.1414,33
557,-2773.7874,42
558,-2921.6152,40
559,-13792.704,226
560,-36919.848,500
561,-5460.149,76
562,-2325.2764,27
563,-2498.23,28
564,-2570.8562,41
565,-3322.3955,51
566,-3245.7517,36
567,-2118.6816,27
568,-1598.3016,24
569,-2174.1726,29
570,-2037.0469,25
571,-2636.371,35
572,-1681.6522,22
573,-3190.0894,35
574,-1905.9556,29
575,-3437.5315,45
576,-36621.086,500
577,-3133.9426,40
578,-2962.9727,37
579,-34468.332,500
580,-3286.8215,38
581,-7714.4756,110
582,-1707.5353,20
583,-1972.7129,31
584,-3034.06,36
585,-3194.7415,43
586,-2190.072,32
587,-3157.717,38
588,-1383.6145,16
589,-5069.351,75
590,-1182.6333,13
591,-2927.4768,46
592,-9266.666,146
593,-3158.4575,44
594,-4461.386,54
595,-2253.6636,28
596,-3549.0188,47
597,-2163.4858,30
598,-3030.8057,47
599,-1879.2388,32
600,-5948.689,98
601,-5967.0015,63
602,-2129.186,32
603,-1317.7727,19
604,-3881.303,48
605,-17586.283,227
606,-3471.9705,41
607,-1679.5804,19
608,-3044.2424,37
609,-1746.5122,26
610,-4710.143,62
611,-1648.273,23
612,-2609.11,33
613,-6152.392,76
614,-5120.6333,86
615,-3964.429,64
616,-4299.8804,53
617,-2780.879,34
618,-3289.4126,38
619,-2310.766,35
620,-2391.735,32
621,-1583.6199,17
622,-2172.982,34
623,-41604.04,500
624,-4574.062,53
625,-3974.1082,51
626,-3502.604,40
627,-1600.774,18
628,-2970.8997,38
629,-3934.8662,43
630,-2588.0613,35
631,-1596.7656,22
632,-3875.9424,47
633,-2510.671,32
634,-33034.344,500
635,-1994.5154,23
636,-5329.8154,74
637,-2940.6113,32
638,-2825.852,30
639,-1817.9955,29
640,-8955.134,115
641,-1487.986,20
642,-1487.9608,19
643,-3810.46,61
644,-2292.9941,37
645,-4558.6655,48
646,-3431.1519,54
647,-2367.5508,26
648,-15436.518,187
649,-4385.1797,47
650,-2115.8623,22
651,-1997.6592,40
652,-1608.0,22
653,-1949.1206,25
654,-1035.4976,14
655,-1636.9904,22
656,-2858.4773,43
657,-30963.871,420
658,-37657.3,500
659,-2646.6335,31
660,-1553.7458,22
661,-3367.3555,39
662,-3025.7422,40
663,-4712.872,55
664,-43219.094,500
665,-4030.539,69
666,-2744.7173,33
667,-2355.5942,34
668,-4411.2837,58
669,-1942.297,25
670,-2979.5996,33
671,-7942.969,82
672,-6582.2656,80
673,-3009.7358,50
674,-1774.837,25
675,-2346.359,29
676,-6727.728,77
677,-5500.094,61
678,-2705.4875,39
679,-5038.884,62
680,-1440.251,18
681,-2672.1208,33
682,-6550.839,107
683,-3019.688,35
684,-1696.4578,18
685,-2438.0164,33
686,-3460.3691,48
687,-2500.702,30
688,-2552.7756,37
689,-32865.242,500
690,-1327.3405,18
691,-1418.3254,16
692,-6249.4146,67
693,-1778.1414,25
694,-4643.1777,57
695,-6063.5522,66
696,-2909.043,35
697,-2429.1382,33
698,-40473.793,500
699,-5070.0234,62
700,-3266.8704,37
701,-2818.923,36
702,-2438.6404,31
703,-1273.9683,19
704,-46550.64,500
705,-1846.9275,32
706,-3789.4963,54
707,-4180.3975,49
708,-6655.8022,68
709,-1518.3778,24
710,-2142.9702,32
711,-2703.2712,32
712,-2739.5742,38
713,-2505.084,34
714,-3249.0476,34
715,-2271.8174,29
716,-43218.785,500
717,-9960.834,155
718,-2249.9978,28
719,-2364.5952,35
720,-3793.6086,55
721,-2104.8584,26
722,-2245.631,32
723,-6469.2134,81
724,-6957.5874,84
725,-2167.879,26
726,-1145.2968,14
727,-1648.6179,21
728,-4169.5625,68
729,-2136.9758,29
730,-2462.2964,36
731,-1998.7396,24
732,-2643.8608,30
733,-2077.179,29
734,-1284.3713,17
735,-1805.1217,19
736,-2496.0845,35
737,-2432.767,34
738,-2945.4668,39
739,-2791.8633,37
740,-20911.213,231
741,-4664.544,54
742,-2525.7446,32
743,-1254.9797,15
744,-3533.2012,38
745,-16737.186,257
746,-3509.23,46
747,-3094.9758,33
748,-1515.7648,23
749,-1540.8939,19
750,-2869.9453,35
751,-40009.035,500
752,-39775.793,500
753,-41751.746,500
754,-2093.5867,26
755,-5080.563,58
756,-2962.97,41
757,-2555.297,29
758,-4425.7197,56
759,-2560.9033,39
760,-6177.5625,65
761,-2536.2656,30
762,-2510.0247,31
763,-2873.437,33
764,-2560.6147,37
765,-1680.2725,24
766,-2187.9048,28
767,-2231.7388,31
768,-1979.7417,27
769,-2157.18,28
770,-2858.5398,34
771,-2237.074,30
772,-1623.2697,22
773,-2239.921,32
774,-1886.7234,22
775,-3379.116,47
776,-12577.123,194
777,-2434.698,28
778,-2111.9385,27
779,-2836.046,31
780,-1289.2216,21
781,-2285.1504,26
782,-2658.642,35
783,-2289.5679,32
784,-3975.5786,46
785,-1166.7756,18
786,-2327.1804,27
787,-3821.0488,42
788,-2201.4878,27
789,-4584.641,57
790,-1733.5581,22
791,-4105.139,46
792,-3785.9543,45
793,-36069.22,458
794,-2258.8328,31
795,-3435.9114,46
796,-1936.0679,30
797,-2595.496,37
798,-3256.4968,39
799,-4472.449,63
800,-6475.9736,87
801,-1631.7234,19
802,-1519.9128,19
803,-2591.3103,36
804,-4516.8706,57
805,-2808.7878,37
806,-3966.0864,46
807,-5872.1074,76
808,-3190.7686,37
809,-3011.321,38
810,-3300.3494,42
811,-2075.2317,29
812,-1627.0443,29
813,-3633.4297,39
814,-5039.253,63
815,-5628.509,69
816,-1539.504,22
817,-2064.1902,27
818,-2305.281,31
819,-1484.9846,17
820,-1944.3376,28
821,-4192.233,63
822,-1756.2925,25
823,-1219.5065,20
824,-6798.072,79
825,-1756.6976,20
826,-1647.4496,26
827,-3030.232,42
828,-4140.2134,46
829,-2534.852,34
830,-33060.434,500
831,-2039.3898,32
832,-4629.1846,72
833,-2014.3395,25
834,-1398.9685,23
835,-2242.1426,28
836,-3301.0134,38
837,-2412.2476,32
838,-2465.7742,29
839,-2069.7805,29
840,-1377.9309,17
841,-2067.2556,31
842,-4971.484,71
843,-7664.528,103
844,-2698.1865,33
845,-2617.2148,29
846,-3094.689,35
847,-2144.327,29
848,-2989.7485,45
849,-3099.479,44
850,-1146.0505,13
851,-2251.8591,30
852,-5771.1646,57
853,-1569.4495,20
854,-3470.8228,38
855,-961.7453,13
856,-4633.8203,69
857,-6975.4546,82
858,-3894.1785,45
859,-6178.745,71
860,-2380.2048,30
861,-2259.5298,28
862,-2611.1995,36
863,-3360.8066,36
864,-2016.2562,30
865,-1149.2184,17
866,-2089.4634,26
867,-1464.3755,18
868,-2204.1133,29
869,-2770.3728,32
870,-3264.7632,43
871,-2950.586,44
872,-2011.3737,29
873,-2036.3673,22
874,-36704.777,500
875,-1909.1963,26
876,-1515.9612,23
877,-1747.1981,20
878,-3212.4822,44
879,-3644.6304,44
880,-1832.7535,26
881,-1131.8134,16
882,-2049.7244,26
883,-2134.9883,24
884,-1982.1313,23
885,-2686.9011,37
886,-3346.4495,42
887,-6177.043,66
888,-2489.7544,29
889,-1543.2714,17
890,-2030.3845,25
891,-2170.325,26
892,-2909.9583,34
893,-20819.393,281
894,-1301.6891,17
895,-1947.8234,23
896,-5122.962,73
897,-2347.1003,36
898,-3442.623,45
899,-2241.8923,29
900,-7642.543,101
